OP_GROUP,SHIFT,COMPLIANCE_SCORE,NUMBER_OF_OPERATOR,REMARK
EG_WAFER_74_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_75_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_76_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_77_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_78_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_79_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_80_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_81_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_82_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_83_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_84_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_85_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_86_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_87_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_88_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_89_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_90_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_91_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_92_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_93_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_94_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_95_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_96_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_97_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_99_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_1_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_4_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_20_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_12_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_7_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_8_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_15_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_17_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_19_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_20_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_15_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_6_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_16_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_13_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_21_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_2_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_9_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_5_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_8_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_14_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_12_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_11_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_9_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_5_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_7_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_22_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_13_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_19_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_17_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_18_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_16_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_4_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_12_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_14_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_15_OP_GR,LT_SHIFT_1,1,9999,
EG_LOT_1_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_14_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_10_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_18_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_16_OP_GR,LT_SHIFT_1,1,9999,
EG_WAFER_2_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_10_OP_GR,LT_SHIFT_1,1,9999,
EG_BATCH_23_OP_GR,LT_SHIFT_1,1,9999,
