EQPT_ID,OPERATING_MODE,CHAMBER_KEY,THP_FACTOR
EQ_WAFER_405,*,111010000000000000,100
EQ_WAFER_405,*,111000000000000000,100
EQ_WAFER_405,*,110110000000000000,100
EQ_WAFER_405,*,110100000000000000,100
EQ_WAFER_405,*,110010000000000000,100
EQ_WAFER_405,*,110000000000000000,100
EQ_WAFER_405,*,101110000000000000,100
EQ_WAFER_405,*,101100000000000000,100
EQ_WAFER_405,*,101010000000000000,100
EQ_WAFER_405,*,101000000000000000,100
EQ_WAFER_405,*,100110000000000000,100
EQ_WAFER_405,*,100100000000000000,100
EQ_WAFER_405,*,100010000000000000,100
EQ_WAFER_405,*,100000000000000000,100
EQ_WAFER_405,*,011110000000000000,100
EQ_WAFER_405,*,011100000000000000,100
EQ_WAFER_405,*,011010000000000000,100
EQ_WAFER_405,*,011000000000000000,100
EQ_WAFER_405,*,010110000000000000,100
EQ_WAFER_405,*,010100000000000000,100
EQ_WAFER_405,*,010010000000000000,100
EQ_WAFER_405,*,010000000000000000,100
EQ_WAFER_405,*,001110000000000000,100
EQ_WAFER_405,*,001100000000000000,100
EQ_WAFER_405,*,001010000000000000,100
EQ_WAFER_405,*,001000000000000000,100
EQ_WAFER_405,*,000110000000000000,100
EQ_WAFER_405,*,000100000000000000,100
EQ_WAFER_405,*,000010000000000000,100
EQ_WAFER_441,*,111110000000000000,100
EQ_WAFER_441,*,111100000000000000,100
EQ_WAFER_441,*,111010000000000000,100
EQ_WAFER_441,*,111000000000000000,100
EQ_WAFER_441,*,110110000000000000,100
EQ_WAFER_441,*,110100000000000000,100
EQ_WAFER_441,*,110010000000000000,100
EQ_WAFER_441,*,110000000000000000,100
EQ_WAFER_441,*,101110000000000000,100
EQ_WAFER_441,*,101100000000000000,100
EQ_WAFER_441,*,101010000000000000,100
EQ_WAFER_441,*,101000000000000000,100
EQ_WAFER_441,*,100110000000000000,100
EQ_WAFER_441,*,100100000000000000,100
EQ_WAFER_441,*,100010000000000000,100
EQ_WAFER_441,*,100000000000000000,100
EQ_WAFER_441,*,011110000000000000,100
EQ_WAFER_441,*,011100000000000000,100
EQ_WAFER_441,*,011010000000000000,100
EQ_WAFER_441,*,011000000000000000,100
EQ_WAFER_441,*,010110000000000000,100
EQ_WAFER_441,*,010100000000000000,100
EQ_WAFER_441,*,010010000000000000,100
EQ_WAFER_441,*,010000000000000000,100
EQ_WAFER_441,*,001110000000000000,100
EQ_WAFER_441,*,001100000000000000,100
EQ_WAFER_441,*,001010000000000000,100
EQ_WAFER_441,*,001000000000000000,100
EQ_WAFER_441,*,000110000000000000,100
EQ_WAFER_441,*,000100000000000000,100
EQ_WAFER_441,*,000010000000000000,100
EQ_WAFER_440,*,110000000000000000,100
EQ_WAFER_440,*,100000000000000000,100
EQ_WAFER_440,*,010000000000000000,100
EQ_WAFER_435,*,110000000000000000,100
EQ_WAFER_435,*,100000000000000000,75
EQ_WAFER_435,*,010000000000000000,75
EQ_WAFER_270,*,110000000000000000,100
EQ_WAFER_270,*,100000000000000000,50
EQ_WAFER_270,*,010000000000000000,50
EQ_WAFER_265,*,110000000000000000,100
EQ_WAFER_265,*,100000000000000000,50
