FAB,PRODUCT,ROUTE,PRODUCT_GROUP,TARGET_CYCLE_TIME_IN_DAYS,TOTAL_MASK_LAYERS,SCRAP_RELEASE_THRESHOLD,SCRAP_RELEASE_QTY,RETURN_PRODUCT,NON_OPTIONAL_STEPS,TOTAL_RAW_PROCESS_TIME,PRODUCT_GROUP_2,,TOTAL_OPERATIONS,TOTAL_MACHINES
SIMTECH,PRO_14,ROUTE_14,PG_8,3.73000039,2,0,0,1,28,0.980146088,,,41,42
SIMTECH,PRO_15,ROUTE_15,PG_8,5.629999458,3,0,0,1,39,1.477486046,,,49,51
