FAB,EQPT_ID,EQPT_GROUP_NAME,RECIPE,PRODUCT,FULL_RAW_PROCESS_TIME_IN_MINS,HALF_RAW_PROCESS_TIME_IN_MINS,FULL_INTERVAL_IN_MINS,HALF_INTERVAL_IN_MINS,FULL_RAW_PROCESS_TIME_DIST,HALF_RAW_PROCESS_TIME_DIST,STAGE
SIMTECH,EQ_LOT_16,,REC_LOT_61,*,5.5,,5.5,,,,*
SIMTECH,EQ_LOT_16,,REC_LOT_77,*,30,,30,,,,*
SIMTECH,EQ_LOT_16,,REC_LOT_90,*,23.88,,23.88,,,,*
SIMTECH,EQ_LOT_16,,REC_LOT_95,*,23.88,,23.88,,,,*
SIMTECH,EQ_LOT_16,,*,*,23.88,,23.88,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_39,*,5,,2.5,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_47,*,3,,0.75,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_48,*,9.17,,3.69,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_49,*,5,,2.5,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_50,*,14,,2.5,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_51,*,14,,2.5,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_52,*,9.17,,3.69,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_53,*,9.17,,3.69,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_54,*,9.17,,3.69,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_55,*,9.17,,3.69,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_56,*,5,,4.5,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_63,*,3,,2.5,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_64,*,9.17,,3.69,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_65,*,9.17,,3.69,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_66,*,4,,4,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_67,*,2.5,,2.25,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_68,*,14,,2.5,,,,*
SIMTECH,EQ_LOT_28,,REC_LOT_69,*,9.17,,3.69,,,,*
SIMTECH,EQ_LOT_28,,*,*,9.16,,3.74,,,,*
SIMTECH,EQ_WAFER_519,,REC_WAFER_623,*,20,,1.56,,,,*
SIMTECH,EQ_WAFER_519,,REC_WAFER_629,*,20,,3.31,,,,*
SIMTECH,EQ_WAFER_519,,REC_WAFER_635,*,21,,3.31,,,,*
SIMTECH,EQ_WAFER_519,,REC_WAFER_641,*,6.5,,1.56,,,,*
SIMTECH,EQ_WAFER_519,,REC_WAFER_647,*,24,,3.31,,,,*
SIMTECH,EQ_WAFER_519,,*,*,19.04,,2.34,,,,*
SIMTECH,EQ_WAFER_520,,REC_WAFER_18,*,19,,3.31,,,,*
SIMTECH,EQ_WAFER_520,,REC_WAFER_493,*,24,,3.31,,,,*
SIMTECH,EQ_WAFER_520,,*,*,20.86,,2.81,,,,*
SIMTECH,EQ_BATCH_354,,REC_BATCH_208,*,47,,47,,,,*
SIMTECH,EQ_BATCH_354,,*,*,47,,47,,,,*
SIMTECH,EQ_WAFER_117,,*,*,72.68,,14.34,,,,*
SIMTECH,EQ_WAFER_118,,*,*,91.21,,14.34,,,,*
SIMTECH,EQ_WAFER_366,,REC_WAFER_94,*,188,,31.35,,,,*
SIMTECH,EQ_WAFER_366,,REC_WAFER_97,*,89,,13.95,,,,*
SIMTECH,EQ_WAFER_366,,REC_WAFER_100,*,77,,13,,,,*
SIMTECH,EQ_WAFER_366,,REC_WAFER_103,*,123,,20.45,,,,*
SIMTECH,EQ_WAFER_366,,*,*,72.93,,13.58,,,,*
SIMTECH,EQ_WAFER_367,,REC_WAFER_94,*,188,,24.6,,,,*
SIMTECH,EQ_WAFER_367,,REC_WAFER_97,*,89,,11.05,,,,*
SIMTECH,EQ_WAFER_367,,REC_WAFER_100,*,77,,17.45,,,,*
SIMTECH,EQ_WAFER_367,,REC_WAFER_103,*,97,,16.45,,,,*
SIMTECH,EQ_WAFER_367,,*,*,71.2,,10.93,,,,*
SIMTECH,EQ_WAFER_543,,*,*,68.17,,39,,,,*
SIMTECH,EQ_WAFER_490,,*,*,98,,33.7,,,,*
SIMTECH,EQ_WAFER_491,,*,*,98,,33.7,,,,*
SIMTECH,EQ_WAFER_207,,REC_WAFER_342,*,79,,21.08,,,,*
SIMTECH,EQ_WAFER_207,,REC_WAFER_402,*,83,,21.17,,,,*
SIMTECH,EQ_WAFER_207,,REC_WAFER_432,*,78,,21.08,,,,*
SIMTECH,EQ_WAFER_207,,*,*,76.87,,22.1,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_865,*,70,,23.58,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_33,*,70,,24.25,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_77,*,64,,25,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_121,*,71,,22.75,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_159,*,141,,32.83,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_193,*,141,,27.92,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_227,*,83,,27.92,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_260,*,83,,25.33,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_290,*,83,,24.33,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_320,*,83,,25,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_342,*,79,,21.08,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_402,*,83,,21.17,,,,*
SIMTECH,EQ_WAFER_208,,REC_WAFER_432,*,78,,21.08,,,,*
SIMTECH,EQ_WAFER_208,,*,*,81.85,,24.52,,,,*
SIMTECH,EQ_WAFER_250,,REC_WAFER_491,*,21.33,,18.5,,,,*
SIMTECH,EQ_WAFER_250,,*,*,21.33,,18.5,,,,*
SIMTECH,EQ_WAFER_180,,*,*,8,,1.25,,,,*
SIMTECH,EQ_WAFER_181,,REC_WAFER_84,*,25,,5,,,,*
SIMTECH,EQ_WAFER_181,,REC_WAFER_128,*,25,,5,,,,*
SIMTECH,EQ_WAFER_181,,REC_WAFER_166,*,2,,2,,,,*
SIMTECH,EQ_WAFER_181,,REC_WAFER_200,*,2,,2,,,,*
SIMTECH,EQ_WAFER_181,,REC_WAFER_233,*,2,,2,,,,*
SIMTECH,EQ_WAFER_181,,REC_WAFER_346,*,144,,0.25,,,,*
SIMTECH,EQ_WAFER_181,,*,*,26,,2.66,,,,*
SIMTECH,EQ_WAFER_182,,REC_WAFER_376,*,8,,2,,,,*
SIMTECH,EQ_WAFER_182,,REC_WAFER_40,*,25,,5,,,,*
SIMTECH,EQ_WAFER_182,,REC_WAFER_264,*,144,,0.25,,,,*
SIMTECH,EQ_WAFER_182,,REC_WAFER_294,*,25,,0.25,,,,*
SIMTECH,EQ_WAFER_182,,REC_WAFER_324,*,50,,2.5,,,,*
SIMTECH,EQ_WAFER_182,,*,*,50.4,,2,,,,*
SIMTECH,EQ_BATCH_371,,REC_BATCH_8,*,44,,44,,,,*
