EQPT_ID,POLICY,RANK
EQ_WAFER_450,PrioritizeQueueTimeConstraint,1
EQ_WAFER_298,PrioritizeQueueTimeConstraint,1
EQ_WAFER_306,PrioritizeQueueTimeConstraint,1
EQ_WAFER_307,PrioritizeQueueTimeConstraint,1
EQ_WAFER_308,PrioritizeQueueTimeConstraint,1
EQ_WAFER_596,PrioritizeQueueTimeConstraint,1
EQ_WAFER_597,PrioritizeQueueTimeConstraint,1
EQ_WAFER_598,PrioritizeQueueTimeConstraint,1
EQ_WAFER_599,PrioritizeQueueTimeConstraint,1
EQ_WAFER_260,PrioritizeQueueTimeConstraint,1
EQ_BATCH_6,PrioritizeQueueTimeConstraint,1
EQ_BATCH_7,PrioritizeQueueTimeConstraint,1
EQ_LOT_131,PrioritizeQueueTimeConstraint,1
EQ_WAFER_248,PrioritizeQueueTimeConstraint,1
EQ_WAFER_249,PrioritizeQueueTimeConstraint,1
EQ_WAFER_668,PrioritizeQueueTimeConstraint,1
EQ_LOT_17,PrioritizeQueueTimeConstraint,1
EQ_WAFER_287,PrioritizeQueueTimeConstraint,1
EQ_WAFER_133,PrioritizeQueueTimeConstraint,1
EQ_WAFER_475,PrioritizeQueueTimeConstraint,1
EQ_WAFER_476,PrioritizeQueueTimeConstraint,1
EQ_WAFER_477,PrioritizeQueueTimeConstraint,1
EQ_WAFER_478,PrioritizeQueueTimeConstraint,1
EQ_WAFER_482,PrioritizeQueueTimeConstraint,1
EQ_BATCH_2,PrioritizeQueueTimeConstraint,1
EQ_BATCH_3,PrioritizeQueueTimeConstraint,1
EQ_WAFER_669,PrioritizeQueueTimeConstraint,1
EQ_WAFER_670,PrioritizeQueueTimeConstraint,1
EQ_WAFER_671,PrioritizeQueueTimeConstraint,1
EQ_WAFER_394,PrioritizeQueueTimeConstraint,1
EQ_WAFER_395,PrioritizeQueueTimeConstraint,1
EQ_WAFER_579,PrioritizeQueueTimeConstraint,1
EQ_WAFER_580,PrioritizeQueueTimeConstraint,1
EQ_WAFER_581,PrioritizeQueueTimeConstraint,1
EQ_LOT_3,PrioritizeQueueTimeConstraint,1
EQ_LOT_4,PrioritizeQueueTimeConstraint,1
EQ_LOT_5,PrioritizeQueueTimeConstraint,1
EQ_WAFER_177,PrioritizeQueueTimeConstraint,1
EQ_WAFER_178,PrioritizeQueueTimeConstraint,1
EQ_WAFER_179,PrioritizeQueueTimeConstraint,1
EQ_LOT_44,PrioritizeQueueTimeConstraint,1
EQ_WAFER_389,PrioritizeQueueTimeConstraint,1
EQ_LOT_75,PrioritizeQueueTimeConstraint,1
EQ_LOT_27,PrioritizeQueueTimeConstraint,1
EQ_BATCH_364,PrioritizeQueueTimeConstraint,1
EQ_BATCH_365,PrioritizeQueueTimeConstraint,1
EQ_BATCH_366,PrioritizeQueueTimeConstraint,1
EQ_BATCH_367,PrioritizeQueueTimeConstraint,1
EQ_BATCH_368,PrioritizeQueueTimeConstraint,1
EQ_BATCH_336,PrioritizeQueueTimeConstraint,1
EQ_BATCH_337,PrioritizeQueueTimeConstraint,1
EQ_BATCH_338,PrioritizeQueueTimeConstraint,1
EQ_WAFER_383,PrioritizeQueueTimeConstraint,1
EQ_WAFER_384,PrioritizeQueueTimeConstraint,1
EQ_WAFER_385,PrioritizeQueueTimeConstraint,1
EQ_WAFER_386,PrioritizeQueueTimeConstraint,1
EQ_BATCH_1,PrioritizeQueueTimeConstraint,1
EQ_BATCH_127,PrioritizeQueueTimeConstraint,1
EQ_BATCH_128,PrioritizeQueueTimeConstraint,1
EQ_WAFER_309,PrioritizeQueueTimeConstraint,1
EQ_LOT_11,PrioritizeQueueTimeConstraint,1
EQ_LOT_12,PrioritizeQueueTimeConstraint,1
EQ_WAFER_57,PrioritizeQueueTimeConstraint,1
EQ_LOT_52,PrioritizeQueueTimeConstraint,1
EQ_BATCH_369,PrioritizeQueueTimeConstraint,1
EQ_BATCH_370,PrioritizeQueueTimeConstraint,1
EQ_WAFER_517,PrioritizeQueueTimeConstraint,1
EQ_WAFER_518,PrioritizeQueueTimeConstraint,1
EQ_WAFER_410,PrioritizeQueueTimeConstraint,1
EQ_WAFER_411,PrioritizeQueueTimeConstraint,1
EQ_WAFER_412,PrioritizeQueueTimeConstraint,1
EQ_WAFER_413,PrioritizeQueueTimeConstraint,1
EQ_WAFER_483,PrioritizeQueueTimeConstraint,1
EQ_WAFER_200,PrioritizeQueueTimeConstraint,1
EQ_WAFER_201,PrioritizeQueueTimeConstraint,1
EQ_WAFER_187,PrioritizeQueueTimeConstraint,1
EQ_WAFER_619,PrioritizeQueueTimeConstraint,1
EQ_WAFER_582,PrioritizeQueueTimeConstraint,1
EQ_WAFER_583,PrioritizeQueueTimeConstraint,1
EQ_WAFER_584,PrioritizeQueueTimeConstraint,1
EQ_WAFER_585,PrioritizeQueueTimeConstraint,1
EQ_WAFER_387,PrioritizeQueueTimeConstraint,1
EQ_WAFER_620,PrioritizeQueueTimeConstraint,1
EQ_BATCH_340,PrioritizeQueueTimeConstraint,1
EQ_BATCH_341,PrioritizeQueueTimeConstraint,1
EQ_WAFER_414,PrioritizeQueueTimeConstraint,1
EQ_WAFER_445,PrioritizeQueueTimeConstraint,1
EQ_WAFER_85,PrioritizeQueueTimeConstraint,1
EQ_WAFER_69,PrioritizeQueueTimeConstraint,1
EQ_WAFER_70,PrioritizeQueueTimeConstraint,1
EQ_WAFER_71,PrioritizeQueueTimeConstraint,1
EQ_WAFER_72,PrioritizeQueueTimeConstraint,1
EQ_WAFER_73,PrioritizeQueueTimeConstraint,1
EQ_WAFER_74,PrioritizeQueueTimeConstraint,1
EQ_WAFER_75,PrioritizeQueueTimeConstraint,1
EQ_WAFER_86,PrioritizeQueueTimeConstraint,1
EQ_WAFER_76,PrioritizeQueueTimeConstraint,1
EQ_WAFER_77,PrioritizeQueueTimeConstraint,1
EQ_WAFER_78,PrioritizeQueueTimeConstraint,1
EQ_WAFER_79,PrioritizeQueueTimeConstraint,1
EQ_WAFER_80,PrioritizeQueueTimeConstraint,1
EQ_WAFER_81,PrioritizeQueueTimeConstraint,1
EQ_WAFER_82,PrioritizeQueueTimeConstraint,1
EQ_WAFER_83,PrioritizeQueueTimeConstraint,1
EQ_WAFER_84,PrioritizeQueueTimeConstraint,1
EQ_WAFER_87,PrioritizeQueueTimeConstraint,1
EQ_WAFER_257,PrioritizeQueueTimeConstraint,1
EQ_WAFER_44,PrioritizeQueueTimeConstraint,1
EQ_WAFER_45,PrioritizeQueueTimeConstraint,1
EQ_WAFER_46,PrioritizeQueueTimeConstraint,1
EQ_WAFER_47,PrioritizeQueueTimeConstraint,1
EQ_WAFER_48,PrioritizeQueueTimeConstraint,1
EQ_WAFER_49,PrioritizeQueueTimeConstraint,1
EQ_WAFER_50,PrioritizeQueueTimeConstraint,1
EQ_WAFER_51,PrioritizeQueueTimeConstraint,1
EQ_WAFER_52,PrioritizeQueueTimeConstraint,1
EQ_WAFER_53,PrioritizeQueueTimeConstraint,1
EQ_WAFER_54,PrioritizeQueueTimeConstraint,1
EQ_WAFER_55,PrioritizeQueueTimeConstraint,1
EQ_WAFER_56,PrioritizeQueueTimeConstraint,1
EQ_WAFER_271,PrioritizeQueueTimeConstraint,1
EQ_WAFER_272,PrioritizeQueueTimeConstraint,1
EQ_WAFER_273,PrioritizeQueueTimeConstraint,1
EQ_WAFER_376,PrioritizeQueueTimeConstraint,1
EQ_WAFER_377,PrioritizeQueueTimeConstraint,1
EQ_WAFER_378,PrioritizeQueueTimeConstraint,1
EQ_WAFER_379,PrioritizeQueueTimeConstraint,1
EQ_WAFER_274,PrioritizeQueueTimeConstraint,1
EQ_WAFER_380,PrioritizeQueueTimeConstraint,1
EQ_WAFER_381,PrioritizeQueueTimeConstraint,1
EQ_WAFER_299,PrioritizeQueueTimeConstraint,1
EQ_WAFER_300,PrioritizeQueueTimeConstraint,1
EQ_WAFER_301,PrioritizeQueueTimeConstraint,1
EQ_WAFER_302,PrioritizeQueueTimeConstraint,1
EQ_WAFER_303,PrioritizeQueueTimeConstraint,1
EQ_WAFER_304,PrioritizeQueueTimeConstraint,1
EQ_WAFER_305,PrioritizeQueueTimeConstraint,1
EQ_WAFER_651,PrioritizeQueueTimeConstraint,1
EQ_WAFER_652,PrioritizeQueueTimeConstraint,1
EQ_WAFER_653,PrioritizeQueueTimeConstraint,1
EQ_WAFER_310,PrioritizeQueueTimeConstraint,1
EQ_WAFER_311,PrioritizeQueueTimeConstraint,1
EQ_WAFER_312,PrioritizeQueueTimeConstraint,1
EQ_WAFER_313,PrioritizeQueueTimeConstraint,1
EQ_WAFER_314,PrioritizeQueueTimeConstraint,1
EQ_WAFER_315,PrioritizeQueueTimeConstraint,1
EQ_WAFER_316,PrioritizeQueueTimeConstraint,1
EQ_WAFER_317,PrioritizeQueueTimeConstraint,1
EQ_WAFER_318,PrioritizeQueueTimeConstraint,1
EQ_WAFER_319,PrioritizeQueueTimeConstraint,1
EQ_WAFER_320,PrioritizeQueueTimeConstraint,1
EQ_WAFER_321,PrioritizeQueueTimeConstraint,1
EQ_WAFER_322,PrioritizeQueueTimeConstraint,1
EQ_WAFER_323,PrioritizeQueueTimeConstraint,1
EQ_WAFER_324,PrioritizeQueueTimeConstraint,1
EQ_WAFER_325,PrioritizeQueueTimeConstraint,1
EQ_WAFER_326,PrioritizeQueueTimeConstraint,1
EQ_WAFER_327,PrioritizeQueueTimeConstraint,1
EQ_WAFER_328,PrioritizeQueueTimeConstraint,1
EQ_WAFER_329,PrioritizeQueueTimeConstraint,1
EQ_WAFER_330,PrioritizeQueueTimeConstraint,1
EQ_WAFER_331,PrioritizeQueueTimeConstraint,1
EQ_WAFER_28,PrioritizeQueueTimeConstraint,1
EQ_WAFER_29,PrioritizeQueueTimeConstraint,1
EQ_WAFER_30,PrioritizeQueueTimeConstraint,1
EQ_WAFER_31,PrioritizeQueueTimeConstraint,1
EQ_WAFER_32,PrioritizeQueueTimeConstraint,1
EQ_WAFER_33,PrioritizeQueueTimeConstraint,1
EQ_WAFER_34,PrioritizeQueueTimeConstraint,1
EQ_WAFER_35,PrioritizeQueueTimeConstraint,1
EQ_WAFER_36,PrioritizeQueueTimeConstraint,1
EQ_WAFER_37,PrioritizeQueueTimeConstraint,1
EQ_WAFER_38,PrioritizeQueueTimeConstraint,1
EQ_WAFER_39,PrioritizeQueueTimeConstraint,1
EQ_WAFER_40,PrioritizeQueueTimeConstraint,1
EQ_WAFER_41,PrioritizeQueueTimeConstraint,1
EQ_WAFER_534,PrioritizeQueueTimeConstraint,1
EQ_WAFER_535,PrioritizeQueueTimeConstraint,1
EQ_WAFER_536,PrioritizeQueueTimeConstraint,1
EQ_WAFER_537,PrioritizeQueueTimeConstraint,1
EQ_WAFER_538,PrioritizeQueueTimeConstraint,1
EQ_WAFER_539,PrioritizeQueueTimeConstraint,1
EQ_WAFER_540,PrioritizeQueueTimeConstraint,1
EQ_WAFER_541,PrioritizeQueueTimeConstraint,1
EQ_WAFER_542,PrioritizeQueueTimeConstraint,1
EQ_LOT_78,PrioritizeQueueTimeConstraint,1
EQ_LOT_79,PrioritizeQueueTimeConstraint,1
EQ_LOT_80,PrioritizeQueueTimeConstraint,1
EQ_LOT_81,PrioritizeQueueTimeConstraint,1
EQ_LOT_82,PrioritizeQueueTimeConstraint,1
EQ_LOT_83,PrioritizeQueueTimeConstraint,1
EQ_LOT_84,PrioritizeQueueTimeConstraint,1
EQ_LOT_85,PrioritizeQueueTimeConstraint,1
EQ_LOT_86,PrioritizeQueueTimeConstraint,1
EQ_LOT_87,PrioritizeQueueTimeConstraint,1
EQ_LOT_88,PrioritizeQueueTimeConstraint,1
EQ_LOT_89,PrioritizeQueueTimeConstraint,1
