EQPT_ID,CHAMBER,START_TIME,SCHEDULED_START,LATEST_START,DURATION_IN_MINS,OP_GROUP,OP_DOWN_FRACTION,OP_DOWN_QTY,DOWN_TYPE,REMARK
EQ_WAFER_305,,18/9/2020 23:39:14,,,180,,,,SD,
EQ_WAFER_652,2,18/9/2020 23:39:14,,,186,,,,SD,
EQ_WAFER_311,,18/9/2020 23:39:14,,,313.2,,,,SD,
EQ_WAFER_312,,18/9/2020 23:39:14,,,201.6,,,,SD,
EQ_WAFER_316,,18/9/2020 23:39:14,,,475.8,,,,SD,
EQ_WAFER_318,,18/9/2020 23:39:14,,,374.4,,,,SD,
EQ_WAFER_319,,18/9/2020 23:39:14,,,380.4,,,,SD,
EQ_WAFER_323,,18/9/2020 23:39:14,,,439.2,,,,SD,
EQ_WAFER_324,,18/9/2020 23:39:14,,,246,,,,SD,
EQ_WAFER_327,,18/9/2020 23:39:14,,,487.8,,,,SD,
EQ_WAFER_328,,18/9/2020 23:39:14,,,372.6,,,,SD,
EQ_WAFER_329,,18/9/2020 23:39:14,,,405.6,,,,SD,
EQ_WAFER_331,,18/9/2020 23:39:14,,,476.4,,,,SD,
EQ_WAFER_28,4,18/9/2020 23:39:14,,,190.2,,,,SD,
EQ_WAFER_33,4,18/9/2020 23:39:14,,,35.4,,,,ENG,
EQ_WAFER_37,4,18/9/2020 23:39:14,,,23.4,,,,UD,
EQ_WAFER_38,3,18/9/2020 23:39:14,,,37.2,,,,SD,
EQ_WAFER_38,4,18/9/2020 23:39:14,,,37.2,,,,SD,
EQ_WAFER_40,4,18/9/2020 23:39:14,,,31.2,,,,NST,
EQ_WAFER_40, ,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_534,,18/9/2020 23:39:14,,,261,,,,SD,
EQ_WAFER_539,,18/9/2020 23:39:14,,,298.8,,,,SD,
EQ_LOT_83,,18/9/2020 23:39:14,,,114,,,,SD,
EQ_LOT_94,,18/9/2020 23:39:14,,,131.4,,,,SD,
EQ_LOT_97,,18/9/2020 23:39:14,,,259.8,,,,SD,
EQ_LOT_100,,18/9/2020 23:39:14,,,130.8,,,,SD,
EQ_LOT_104,,18/9/2020 23:39:14,,,133.2,,,,SD,
EQ_LOT_105,,18/9/2020 23:39:14,,,259.2,,,,SD,
EQ_WAFER_341,,18/9/2020 23:39:14,,,249,,,,SD,
EQ_WAFER_357,A,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_357,A,18/9/2020 23:39:14,,,12480,,,,ENG,
EQ_WAFER_357,C,18/9/2020 23:39:14,,,144.6,,,,ENG,
EQ_WAFER_357,,18/9/2020 23:39:14,,,144.6,,,,SD,
EQ_WAFER_358,B,18/9/2020 23:39:14,,,154.8,,,,UD,
EQ_WAFER_358,C,18/9/2020 23:39:14,,,154.8,,,,SD,
EQ_WAFER_358,,18/9/2020 23:39:14,,,154.8,,,,SD,
EQ_WAFER_359,B,18/9/2020 23:39:14,,,94.2,,,,UD,
EQ_WAFER_359,,18/9/2020 23:39:14,,,94.2,,,,SD,
EQ_WAFER_360,A,18/9/2020 23:39:14,,,219.6,,,,ENG,
EQ_WAFER_360,,18/9/2020 23:39:14,,,219.6,,,,SD,
EQ_WAFER_390,B,18/9/2020 23:39:14,,,139.8,,,,NST,
EQ_WAFER_390,,18/9/2020 23:39:14,,,139.8,,,,SD,
EQ_WAFER_391,,18/9/2020 23:39:14,,,81.6,,,,SD,
EQ_WAFER_172,,18/9/2020 23:39:14,,,46.2,,,,SD,
EQ_WAFER_174,,18/9/2020 23:39:14,,,27,,,,SD,
EQ_WAFER_147,,18/9/2020 23:39:14,,,30.6,,,,SD,
EQ_WAFER_158,,18/9/2020 23:39:14,,,24.6,,,,SD,
EQ_WAFER_654,2,18/9/2020 23:39:14,,,30,,,,SD,
EQ_WAFER_654,,18/9/2020 23:39:14,,,180,,,,SD,
EQ_WAFER_666,,18/9/2020 23:39:14,,,5959640.767,,,,NST,
EQ_WAFER_667,,18/9/2020 23:39:14,,,231.6,,,,SD,
EQ_LOT_148,,18/9/2020 23:39:14,,,54,,,,SD,
EQ_WAFER_283,,18/9/2020 23:39:14,,,86.4,,,,SD,
EQ_WAFER_286,,18/9/2020 23:39:14,,,82.8,,,,SD,
EQ_BATCH_343,,18/9/2020 23:39:14,,,184.2,,,,SD,
EQ_WAFER_223,,18/9/2020 23:39:14,,,249.6,,,,SD,
EQ_WAFER_227,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_657,,18/9/2020 23:39:14,,,129,,,,SD,
EQ_WAFER_642,,18/9/2020 23:39:14,,,156,,,,SD,
EQ_WAFER_643,,18/9/2020 23:39:14,,,73.2,,,,SD,
EQ_WAFER_88,,18/9/2020 23:39:14,,,52.8,,,,SD,
EQ_WAFER_89,A,18/9/2020 23:39:14,,,63,,,,UD,
EQ_WAFER_90,A,18/9/2020 23:39:14,,,156.6,,,,SD,
EQ_WAFER_90,B,18/9/2020 23:39:14,,,156.6,,,,SD,
EQ_WAFER_90,C,18/9/2020 23:39:14,,,156.6,,,,SD,
EQ_WAFER_90,,18/9/2020 23:39:14,,,156.6,,,,SD,
EQ_WAFER_91,B,18/9/2020 23:39:14,,,45.6,,,,ENG,
EQ_WAFER_238,,18/9/2020 23:39:14,,,100.2,,,,SD,
EQ_BATCH_14,,18/9/2020 23:39:14,,,307.2,,,,SD,
EQ_BATCH_28,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_BATCH_29,,18/9/2020 23:39:14,,,231.6,,,,SD,
EQ_BATCH_40,,18/9/2020 23:39:14,,,157.8,,,,SD,
EQ_BATCH_47,,18/9/2020 23:39:14,,,337.2,,,,SD,
EQ_BATCH_61,,18/9/2020 23:39:14,,,307.2,,,,SD,
EQ_BATCH_62,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_BATCH_81,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_BATCH_82,,18/9/2020 23:39:14,,,256.8,,,,SD,
EQ_BATCH_84,,18/9/2020 23:39:14,,,358.2,,,,SD,
EQ_BATCH_100,,18/9/2020 23:39:14,,,269.4,,,,SD,
EQ_BATCH_109,,18/9/2020 23:39:14,,,374.4,,,,SD,
EQ_BATCH_111,,18/9/2020 23:39:14,,,243,,,,SD,
EQ_BATCH_113,,18/9/2020 23:39:14,,,234,,,,SD,
EQ_BATCH_116,,18/9/2020 23:39:14,,,669.6,,,,SD,
EQ_BATCH_123,,18/9/2020 23:39:14,,,180,,,,SD,
EQ_BATCH_134,,18/9/2020 23:39:14,,,288,,,,SD,
EQ_BATCH_136,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_BATCH_142,,18/9/2020 23:39:14,,,186,,,,SD,
EQ_BATCH_146,,18/9/2020 23:39:14,,,441.6,,,,SD,
EQ_BATCH_158,,18/9/2020 23:39:14,,,269.4,,,,SD,
EQ_BATCH_171,,18/9/2020 23:39:14,,,538.8,,,,SD,
EQ_BATCH_177,,18/9/2020 23:39:14,,,277.2,,,,SD,
EQ_BATCH_202,,18/9/2020 23:39:14,,,393.6,,,,SD,
EQ_BATCH_204,,18/9/2020 23:39:14,,,189.6,,,,SD,
EQ_BATCH_217,,18/9/2020 23:39:14,,,318.6,,,,SD,
EQ_BATCH_222,,18/9/2020 23:39:14,,,310.8,,,,SD,
EQ_BATCH_233,,18/9/2020 23:39:14,,,53.4,,,,SD,
EQ_BATCH_239,,18/9/2020 23:39:14,,,473.4,,,,SD,
EQ_BATCH_245,,18/9/2020 23:39:14,,,655.8,,,,SD,
EQ_BATCH_249,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_BATCH_290,,18/9/2020 23:39:14,,,487.8,,,,SD,
EQ_LOT_70,,18/9/2020 23:39:14,,,80.4,,,,SD,
