EQPT_ID,POLICY,RANK
EQ_WAFER_205,PrioritizeRework,9
EQ_WAFER_205,PrioritizeLongWait,10
EQ_WAFER_205,PrioritizeStepDue,12
EQ_WAFER_388,PrioritizeQueueTimeConstraint,1
EQ_WAFER_388,PrioritizeRocketLot,5
EQ_WAFER_388,PrioritizeHotLot,6
EQ_WAFER_388,PrioritizeRework,9
EQ_WAFER_388,PrioritizeLongWait,10
EQ_WAFER_388,PrioritizeStepDue,12
EQ_LOT_14,PrioritizeQueueTimeConstraint,1
EQ_LOT_14,PrioritizeRocketLot,5
EQ_LOT_14,PrioritizeHotLot,6
EQ_LOT_14,PrioritizeRework,9
EQ_LOT_14,PrioritizeLongWait,10
EQ_LOT_14,PrioritizeStepDue,12
EQ_LOT_15,PrioritizeQueueTimeConstraint,1
EQ_LOT_15,PrioritizeRocketLot,5
EQ_LOT_15,PrioritizeHotLot,6
EQ_LOT_15,PrioritizeRework,9
EQ_LOT_15,PrioritizeLongWait,10
EQ_LOT_15,PrioritizeStepDue,12
EQ_LOT_16,PrioritizeQueueTimeConstraint,1
EQ_LOT_16,PrioritizeRocketLot,5
EQ_LOT_16,PrioritizeHotLot,6
EQ_LOT_16,PrioritizeRework,9
EQ_LOT_16,PrioritizeLongWait,10
EQ_LOT_16,PrioritizeStepDue,12
EQ_LOT_28,PrioritizeQueueTimeConstraint,1
EQ_LOT_28,PrioritizeRocketLot,5
EQ_LOT_28,PrioritizeHotLot,6
EQ_LOT_28,PrioritizeRework,9
EQ_LOT_28,PrioritizeLongWait,10
EQ_LOT_28,PrioritizeStepDue,12
EQ_WAFER_519,PrioritizeQueueTimeConstraint,1
EQ_WAFER_519,PrioritizeRocketLot,5
EQ_WAFER_519,PrioritizeHotLot,6
EQ_WAFER_519,PrioritizeRework,9
EQ_WAFER_519,PrioritizeLongWait,10
EQ_WAFER_519,PrioritizeStepDue,12
EQ_WAFER_519,PreferFastTool,18
EQ_WAFER_520,PrioritizeQueueTimeConstraint,1
EQ_WAFER_520,PrioritizeRocketLot,5
EQ_WAFER_520,PrioritizeHotLot,6
EQ_WAFER_520,PrioritizeRework,9
EQ_WAFER_520,PrioritizeLongWait,10
EQ_WAFER_520,PrioritizeStepDue,12
EQ_WAFER_520,PreferFastTool,18
EQ_BATCH_354,PrioritizeQueueTimeConstraint,1
EQ_BATCH_354,PrioritizeRocketLot,5
EQ_BATCH_354,PrioritizeHotLot,6
EQ_BATCH_354,PrioritizeRework,9
EQ_BATCH_354,PrioritizeLongWait,10
EQ_BATCH_354,PrioritizeStepDue,12
EQ_WAFER_117,PrioritizeQueueTimeConstraint,1
EQ_WAFER_117,PrioritizeRocketLot,5
EQ_WAFER_117,PrioritizeHotLot,6
EQ_WAFER_117,PrioritizeRework,9
EQ_WAFER_117,PrioritizeLongWait,10
EQ_WAFER_117,PrioritizeStepDue,12
EQ_WAFER_118,PrioritizeQueueTimeConstraint,1
EQ_WAFER_118,PrioritizeRocketLot,5
EQ_WAFER_118,PrioritizeHotLot,6
EQ_WAFER_118,PrioritizeRework,9
EQ_WAFER_118,PrioritizeLongWait,10
EQ_WAFER_118,PrioritizeStepDue,12
EQ_WAFER_366,PrioritizeQueueTimeConstraint,1
EQ_WAFER_366,PrioritizeRocketLot,5
EQ_WAFER_366,PrioritizeHotLot,6
EQ_WAFER_366,PrioritizeRework,9
EQ_WAFER_366,PrioritizeLongWait,10
EQ_WAFER_366,PrioritizeStepDue,12
EQ_WAFER_367,PrioritizeQueueTimeConstraint,1
EQ_WAFER_367,PrioritizeRocketLot,5
EQ_WAFER_367,PrioritizeHotLot,6
EQ_WAFER_367,PrioritizeRework,9
EQ_WAFER_367,PrioritizeLongWait,10
EQ_WAFER_367,PrioritizeStepDue,12
EQ_WAFER_543,PrioritizeQueueTimeConstraint,1
EQ_WAFER_543,PrioritizeRocketLot,5
EQ_WAFER_543,PrioritizeHotLot,6
EQ_WAFER_543,PrioritizeRework,9
EQ_WAFER_543,PrioritizeLongWait,10
EQ_WAFER_543,PrioritizeStepDue,12
EQ_WAFER_490,PrioritizeQueueTimeConstraint,1
EQ_WAFER_490,PrioritizeRocketLot,5
EQ_WAFER_490,PrioritizeHotLot,6
EQ_WAFER_490,PrioritizeRework,9
EQ_WAFER_490,PrioritizeLongWait,10
EQ_WAFER_490,PrioritizeStepDue,12
EQ_WAFER_491,PrioritizeQueueTimeConstraint,1
EQ_WAFER_491,PrioritizeRocketLot,5
EQ_WAFER_491,PrioritizeHotLot,6
EQ_WAFER_491,PrioritizeRework,9
EQ_WAFER_491,PrioritizeLongWait,10
EQ_WAFER_491,PrioritizeStepDue,12
EQ_WAFER_207,PrioritizeQueueTimeConstraint,1
EQ_WAFER_207,PrioritizeRocketLot,5
EQ_WAFER_207,PrioritizeHotLot,6
EQ_WAFER_207,PrioritizeRework,9
EQ_WAFER_207,PrioritizeLongWait,10
EQ_WAFER_207,PrioritizeStepDue,12
EQ_WAFER_207,PreferFastTool,18
EQ_WAFER_208,PrioritizeQueueTimeConstraint,1
EQ_WAFER_208,PrioritizeRocketLot,5
EQ_WAFER_208,PrioritizeHotLot,6
EQ_WAFER_208,PrioritizeRework,9
EQ_WAFER_208,PrioritizeLongWait,10
EQ_WAFER_208,PrioritizeStepDue,12
EQ_WAFER_208,PreferFastTool,18
EQ_WAFER_250,PrioritizeQueueTimeConstraint,1
EQ_WAFER_250,PrioritizeRocketLot,5
EQ_WAFER_250,PrioritizeHotLot,6
EQ_WAFER_250,PrioritizeRework,9
EQ_WAFER_250,PrioritizeLongWait,10
EQ_WAFER_250,PrioritizeStepDue,12
EQ_WAFER_250,PreferFastTool,18
EQ_WAFER_180,PrioritizeQueueTimeConstraint,1
